www,www,0,1.000000
www.developer,www.d3v3|0p3r,5,0.615385
humanos,hum@n0$,3,0.571429
appscript,@pp$<r!pt,4,0.555556
infoamp,!nf0@mp,3,0.571429
clivewalker78,<|!v3w@|k3r78,7,0.461538
s3hh,$3hh,1,0.750000
abral,@br@|,3,0.400000
harisankar-krishnaswamy,h@r!$@nk@r-kr!$hn@$w@my,10,0.565217
cy63rw0rld,<y63rw0r|d,2,0.800000
tarangpanchal,t@r@n9p@n<h@|,7,0.461538
androidkr,@ndr0!dkr,3,0.666667
marcelojabali,m@r<3|0j@b@|!,9,0.307692
dynamicreports,dyn@m!<r3p0rt$,6,0.571429
rd2007mac,rd2007m@<,2,0.777778
teawiththemadhacker,t3@w!thth3m@dh@<k3r,8,0.578947
bigearsblog,b!93@r$b|09,8,0.272727
gleichmann,9|3!<hm@nn,6,0.400000
ilinkuo,!|!nku0,4,0.428571
fire-storm,f!r3-$t0rm,4,0.600000
florentpousserot,f|0r3ntp0u$$3r0t,8,0.500000
ranjithtenz,r@nj!tht3nz,3,0.727273
www.cl,www.<|,2,0.666667
devkico,d3vk!<0,4,0.428571
ng,n9,1,0.500000
peacelovebeer,p3@<3|0v3b33r,9,0.307692
alum,@|um,2,0.500000
code-soo,<0d3-$00,6,0.250000
myscriptbits,my$<r!ptb!t$,5,0.583333
www.webmaster,www.w3bm@$t3r,4,0.692308
www2.filg,www2.f!|9,3,0.666667
brady,br@dy,1,0.800000
rafacastanho,r@f@<@$t@nh0,7,0.416667
epiandroidlab,3p!@ndr0!d|@b,7,0.461538
www.lokate,www.|0k@t3,4,0.600000
karthikselva,k@rth!k$3|v@,6,0.500000
www.teentack,www.t33nt@<k,4,0.666667
griphox,9r!ph0*,4,0.428571
tantalus,t@nt@|u$,4,0.500000
stefan,$t3f@n,3,0.500000
matt-fordham,m@tt-f0rdh@m,3,0.750000
bitcairn.web,b!t<@!rn.w3b,5,0.583333
petazetabytes,p3t@z3t@byt3$,6,0.538462
gonbee,90nb33,4,0.333333
victorfern91,v!<t0rf3rn91,4,0.666667
sarkies,$@rk!3$,5,0.285714
debitsapalabras,d3b!t$@p@|@br@$,9,0.400000
diaspora,d!@$p0r@,5,0.375000
alisajedi,@|!$@j3d!,7,0.222222
iamwpj,!@mwpj,2,0.666667
www.rootedcore,www.r00t3d<0r3,6,0.571429
bytesofcode,byt3$0f<0d3,6,0.454545
www.thedulcetelixir,www.th3du|<3t3|!*!r,9,0.526316
simple,$!mp|3,4,0.333333
williamcustode,w!||!@m<u$t0d3,9,0.357143
gurbirkalsi,9urb!rk@|$!,6,0.454545
ide,!d3,2,0.333333
rgramann,r9r@m@nn,3,0.625000
karthik,k@rth!k,2,0.714286
st233262.meil,$t233262.m3!|,4,0.692308
qaselenium,q@$3|3n!um,6,0.400000
javatutorials4u,j@v@tut0r!@|$4u,7,0.533333
dellu,d3||u,3,0.400000
moscow,m0$<0w,4,0.333333
brsachin,br$@<h!n,4,0.500000
donibrysonimbaga,d0n!bry$0n!mb@9@,8,0.500000
zser-art,z$3r-@rt,3,0.625000
andrescanavesi,@ndr3$<@n@v3$!,9,0.357143
nelaaro,n3|@@r0,5,0.285714
arnav-gudibande,@rn@v-9ud!b@nd3,6,0.600000
prakumk,pr@kumk,1,0.857143
vidorsolultions,v!d0r$0|u|t!0n$,9,0.400000
grahamnash,9r@h@mn@$h,5,0.500000
leejo,|33j0,4,0.200000
juancarlucci,ju@n<@r|u<<!,7,0.416667
www.lib,www.|!b,2,0.714286
terrylu87,t3rry|u87,2,0.777778
arvonline,@rv0n|!n3,5,0.444444
superfuncoolepicgamerworld,$up3rfun<00|3p!<9@m3rw0r|d,14,0.461538
www.pywonders,www.pyw0nd3r$,3,0.769231
emilhernvall,3m!|h3rnv@||,7,0.416667
navyseai,n@vy$3@!,5,0.375000
rajincyberspace,r@j!n<yb3r$p@<3,8,0.466667
charmis,<h@rm!$,4,0.428571
zkwarl,zkw@r|,2,0.666667
www.sunjavastar,www.$unj@v@$t@r,5,0.666667
chisqr,<h!$qr,3,0.500000
softwaredevelopmenttoday,$0ftw@r3d3v3|0pm3ntt0d@y,11,0.541667
anujalk,@nuj@|k,3,0.571429
www.thehansbello,www.th3h@n$b3||0,7,0.562500
